계산기,URL,검색어_원문,검색어_NFC,현재_클릭,이전_클릭,클릭_증감,현재_노출,이전_노출,노출_증감,현재_CTR,이전_CTR,CTR_변화_pp,현재_평균순위,이전_평균순위,순위_변화,현재_순위구간,노출상위20,클릭발생,0클릭_고노출,빠른개선후보,콘텐츠확장후보,CTR개선후보,신중검토,분류,변화_요약
실업급여,https://gyesanbox.kr/calculators/unemployment/,고용보험법 시행령 2026 구직급여 상한액 68100 국가법령정보센터,고용보험법 시행령 2026 구직급여 상한액 68100 국가법령정보센터,0,0,0,2,0,2,0.00%,0.00%,0.00,6,0,신규 발생,4~10위,예,아니오,예,예,아니오,예,아니오,빠른 개선 가능,신규 발생
실업급여,https://gyesanbox.kr/calculators/unemployment/,고용보험법 시행령 제68조 구직급여일액 상한액 68100 2026,고용보험법 시행령 제68조 구직급여일액 상한액 68100 2026,0,0,0,2,0,2,0.00%,0.00%,0.00,10,0,신규 발생,4~10위,예,아니오,예,예,아니오,예,아니오,빠른 개선 가능,신규 발생
실업급여,https://gyesanbox.kr/calculators/unemployment/,고용보험법 시행령 제68조 구직급여일액 상한액 2026 68100,고용보험법 시행령 제68조 구직급여일액 상한액 2026 68100,0,0,0,2,0,2,0.00%,0.00%,0.00,11,0,신규 발생,11~20위,예,아니오,예,예,아니오,아니오,아니오,빠른 개선 가능,신규 발생
실업급여,https://gyesanbox.kr/calculators/unemployment/,월급 80 만원 실업급여,월급 80 만원 실업급여,0,0,0,2,0,2,0.00%,0.00%,0.00,11,0,신규 발생,11~20위,예,아니오,예,아니오,아니오,아니오,예,신중 검토,신규 발생
실업급여,https://gyesanbox.kr/calculators/unemployment/,실업급여 계산방법,실업급여 계산방법,0,0,0,2,0,2,0.00%,0.00%,0.00,38,0,신규 발생,21~50위,예,아니오,예,아니오,예,아니오,아니오,콘텐츠 확장 검토,신규 발생
실업급여,https://gyesanbox.kr/calculators/unemployment/,국가법령정보센터 고용보험법 시행령 구직급여 상한액 68100 2026,국가법령정보센터 고용보험법 시행령 구직급여 상한액 68100 2026,0,0,0,1,0,1,0.00%,0.00%,0.00,1,0,신규 발생,1~3위,예,아니오,예,아니오,아니오,아니오,아니오,관찰,신규 발생
실업급여,https://gyesanbox.kr/calculators/unemployment/,고용보험법 시행령 구직급여일액 하한액 최저임금 80%,고용보험법 시행령 구직급여일액 하한액 최저임금 80%,0,0,0,1,0,1,0.00%,0.00%,0.00,7,0,신규 발생,4~10위,예,아니오,예,예,아니오,아니오,아니오,빠른 개선 가능,신규 발생
실업급여,https://gyesanbox.kr/calculators/unemployment/,2026 구직급여 상한액 하한액 1일 고용보험 공식,2026 구직급여 상한액 하한액 1일 고용보험 공식,0,0,0,1,0,1,0.00%,0.00%,0.00,9,0,신규 발생,4~10위,예,아니오,예,예,아니오,아니오,아니오,빠른 개선 가능,신규 발생
실업급여,https://gyesanbox.kr/calculators/unemployment/,고용보험법 시행규칙 1일 소정근로시간 실업급여 하한액,고용보험법 시행규칙 1일 소정근로시간 실업급여 하한액,0,0,0,1,0,1,0.00%,0.00%,0.00,9,0,신규 발생,4~10위,예,아니오,예,예,아니오,아니오,아니오,빠른 개선 가능,신규 발생
실업급여,https://gyesanbox.kr/calculators/unemployment/,고용보험법 시행령 구직급여일액 상한액 68100,고용보험법 시행령 구직급여일액 상한액 68100,0,0,0,1,0,1,0.00%,0.00%,0.00,10,0,신규 발생,4~10위,예,아니오,예,예,아니오,아니오,아니오,빠른 개선 가능,신규 발생
실업급여,https://gyesanbox.kr/calculators/unemployment/,고용보험법 시행령 제68조 구직급여일액 하한액 소정근로시간,고용보험법 시행령 제68조 구직급여일액 하한액 소정근로시간,0,0,0,1,0,1,0.00%,0.00%,0.00,10,0,신규 발생,4~10위,예,아니오,예,예,아니오,아니오,아니오,빠른 개선 가능,신규 발생
실업급여,https://gyesanbox.kr/calculators/unemployment/,구직급여 상한액 68100 고용노동부,구직급여 상한액 68100 고용노동부,0,0,0,1,0,1,0.00%,0.00%,0.00,10,0,신규 발생,4~10위,예,아니오,예,예,아니오,아니오,아니오,빠른 개선 가능,신규 발생
실업급여,https://gyesanbox.kr/calculators/unemployment/,2026 구직급여 하한액 66048 상한액 66000 고용노동부,2026 구직급여 하한액 66048 상한액 66000 고용노동부,0,0,0,1,0,1,0.00%,0.00%,0.00,11,0,신규 발생,11~20위,예,아니오,예,예,아니오,아니오,아니오,빠른 개선 가능,신규 발생
실업급여,https://gyesanbox.kr/calculators/unemployment/,"2026 실업급여 구직급여 상한액 하한액 소정급여일수 고용보험 
공식","2026 실업급여 구직급여 상한액 하한액 소정급여일수 고용보험 
공식",0,0,0,1,0,1,0.00%,0.00%,0.00,11,0,신규 발생,11~20위,예,아니오,예,예,아니오,아니오,아니오,빠른 개선 가능,신규 발생
실업급여,https://gyesanbox.kr/calculators/unemployment/,"국가법령정보센터 고용보험법 시행령 별표 구직급여 상한액 
68100","국가법령정보센터 고용보험법 시행령 별표 구직급여 상한액 
68100",0,0,0,1,0,1,0.00%,0.00%,0.00,11,0,신규 발생,11~20위,예,아니오,예,예,아니오,아니오,아니오,빠른 개선 가능,신규 발생
실업급여,https://gyesanbox.kr/calculators/unemployment/,고용24 실업급여 계산,고용24 실업급여 계산,0,0,0,1,0,1,0.00%,0.00%,0.00,21,0,신규 발생,21~50위,아니오,아니오,아니오,아니오,아니오,아니오,아니오,관찰,신규 발생
실업급여,https://gyesanbox.kr/calculators/unemployment/,고용보험 실업급여 계산,고용보험 실업급여 계산,0,0,0,1,0,1,0.00%,0.00%,0.00,36,0,신규 발생,21~50위,아니오,아니오,아니오,아니오,아니오,아니오,아니오,관찰,신규 발생
실업급여,https://gyesanbox.kr/calculators/unemployment/,실업급여 계산기 2026,실업급여 계산기 2026,0,0,0,1,0,1,0.00%,0.00%,0.00,37,0,신규 발생,21~50위,아니오,아니오,아니오,아니오,아니오,아니오,아니오,관찰,신규 발생
실업급여,https://gyesanbox.kr/calculators/unemployment/,실업 급여 계산,실업 급여 계산,0,0,0,1,0,1,0.00%,0.00%,0.00,40,0,신규 발생,21~50위,아니오,아니오,아니오,아니오,아니오,아니오,아니오,관찰,신규 발생
실업급여,https://gyesanbox.kr/calculators/unemployment/,실업급여 계산,실업급여 계산,0,0,0,1,0,1,0.00%,0.00%,0.00,45,0,신규 발생,21~50위,아니오,아니오,아니오,아니오,아니오,아니오,아니오,관찰,신규 발생
육아휴직급여,https://gyesanbox.kr/calculators/parental-leave/,육아휴직 급여 계산기,육아휴직 급여 계산기,0,0,0,7,0,7,0.00%,0.00%,0.00,33.71,0,신규 발생,21~50위,예,아니오,예,아니오,아니오,아니오,아니오,관찰,신규 발생
육아휴직급여,https://gyesanbox.kr/calculators/parental-leave/,육아휴직급여 계산기,육아휴직급여 계산기,0,0,0,6,0,6,0.00%,0.00%,0.00,33.67,0,신규 발생,21~50위,예,아니오,예,아니오,아니오,아니오,아니오,관찰,신규 발생
육아휴직급여,https://gyesanbox.kr/calculators/parental-leave/,육아휴직기간계산기,육아휴직기간계산기,0,0,0,5,0,5,0.00%,0.00%,0.00,40.8,0,신규 발생,21~50위,예,아니오,예,아니오,예,아니오,아니오,콘텐츠 확장 검토,신규 발생
육아휴직급여,https://gyesanbox.kr/calculators/parental-leave/,육아휴직 기간 계산기,육아휴직 기간 계산기,0,0,0,4,0,4,0.00%,0.00%,0.00,39.5,0,신규 발생,21~50위,예,아니오,예,아니오,예,아니오,아니오,콘텐츠 확장 검토,신규 발생
육아휴직급여,https://gyesanbox.kr/calculators/parental-leave/,육아휴직급여 계산,육아휴직급여 계산,0,0,0,1,0,1,0.00%,0.00%,0.00,11,0,신규 발생,11~20위,예,아니오,예,예,아니오,아니오,아니오,빠른 개선 가능,신규 발생
육아휴직급여,https://gyesanbox.kr/calculators/parental-leave/,6+6 육아휴직 급여 계산,6+6 육아휴직 급여 계산,0,0,0,1,0,1,0.00%,0.00%,0.00,39,0,신규 발생,21~50위,예,아니오,예,아니오,예,아니오,아니오,콘텐츠 확장 검토,신규 발생
육아휴직급여,https://gyesanbox.kr/calculators/parental-leave/,육아휴직 급여 계산,육아휴직 급여 계산,0,0,0,1,0,1,0.00%,0.00%,0.00,46,0,신규 발생,21~50위,예,아니오,예,아니오,아니오,아니오,아니오,관찰,신규 발생
대출 이자,https://gyesanbox.kr/calculators/loan/,원리금 계산기,원리금 계산기,0,0,0,15,0,15,0.00%,0.00%,0.00,9.4,0,신규 발생,4~10위,예,아니오,예,예,아니오,예,아니오,빠른 개선 가능,신규 발생
대출 이자,https://gyesanbox.kr/calculators/loan/,원리금균등분할상환 계산기,원리금균등분할상환 계산기,0,0,0,6,0,6,0.00%,0.00%,0.00,11,0,신규 발생,11~20위,예,아니오,예,예,아니오,아니오,아니오,빠른 개선 가능,신규 발생
대출 이자,https://gyesanbox.kr/calculators/loan/,원금균등상환 계산기,원금균등상환 계산기,0,0,0,1,0,1,0.00%,0.00%,0.00,10,0,신규 발생,4~10위,예,아니오,예,예,아니오,아니오,아니오,빠른 개선 가능,신규 발생
대출 이자,https://gyesanbox.kr/calculators/loan/,원리금 균등 분할 상환 계산기,원리금 균등 분할 상환 계산기,0,0,0,1,0,1,0.00%,0.00%,0.00,10,0,신규 발생,4~10위,예,아니오,예,예,아니오,아니오,아니오,빠른 개선 가능,신규 발생
대출 이자,https://gyesanbox.kr/calculators/loan/,체증식 분할상환 계산기,체증식 분할상환 계산기,0,0,0,1,0,1,0.00%,0.00%,0.00,10,0,신규 발생,4~10위,예,아니오,예,예,예,아니오,아니오,빠른 개선 가능,신규 발생
대출 이자,https://gyesanbox.kr/calculators/loan/,원리균등상환 계산기,원리균등상환 계산기,0,0,0,1,0,1,0.00%,0.00%,0.00,11,0,신규 발생,11~20위,예,아니오,예,예,아니오,아니오,아니오,빠른 개선 가능,신규 발생
대출 이자,https://gyesanbox.kr/calculators/loan/,원리금균등상환 계산기,원리금균등상환 계산기,0,0,0,1,0,1,0.00%,0.00%,0.00,11,0,신규 발생,11~20위,예,아니오,예,예,아니오,아니오,아니오,빠른 개선 가능,신규 발생
대출 이자,https://gyesanbox.kr/calculators/loan/,대출 원리금 계산,대출 원리금 계산,0,0,0,1,0,1,0.00%,0.00%,0.00,21,0,신규 발생,21~50위,예,아니오,예,아니오,아니오,아니오,아니오,관찰,신규 발생
대출 이자,https://gyesanbox.kr/calculators/loan/,대출 월납입금 계산,대출 월납입금 계산,0,0,0,1,0,1,0.00%,0.00%,0.00,30,0,신규 발생,21~50위,예,아니오,예,아니오,예,아니오,아니오,콘텐츠 확장 검토,신규 발생
대출 이자,https://gyesanbox.kr/calculators/loan/,만기일시상환 계산기,만기일시상환 계산기,0,0,0,1,0,1,0.00%,0.00%,0.00,30,0,신규 발생,21~50위,예,아니오,예,아니오,예,아니오,아니오,콘텐츠 확장 검토,신규 발생
전세 vs 월세,https://gyesanbox.kr/calculators/rent-vs-jeonse/,전세대출금리,전세대출금리,0,0,0,1,0,1,0.00%,0.00%,0.00,4,0,신규 발생,4~10위,예,아니오,예,예,예,아니오,아니오,빠른 개선 가능,신규 발생
판매자 마진,https://gyesanbox.kr/calculators/seller-margin/,결정값 계산기,결정값 계산기,0,0,0,11,0,11,0.00%,0.00%,0.00,9.64,0,신규 발생,4~10위,예,아니오,예,예,아니오,예,아니오,빠른 개선 가능,신규 발생
판매자 마진,https://gyesanbox.kr/calculators/seller-margin/,판매금액,판매금액,0,0,0,10,0,10,0.00%,0.00%,0.00,6.2,0,신규 발생,4~10위,예,아니오,예,예,아니오,예,아니오,빠른 개선 가능,신규 발생
판매자 마진,https://gyesanbox.kr/calculators/seller-margin/,판매가 계산기,판매가 계산기,0,0,0,3,1,2,0.00%,0.00%,0.00,9,68,-59.00,4~10위,예,아니오,예,예,아니오,예,아니오,빠른 개선 가능,"노출 +2, 순위 개선"
판매자 마진,https://gyesanbox.kr/calculators/seller-margin/,크림 수수료 계산기,크림 수수료 계산기,0,0,0,2,0,2,0.00%,0.00%,0.00,8.5,0,신규 발생,4~10위,예,아니오,예,아니오,아니오,아니오,예,신중 검토,신규 발생
판매자 마진,https://gyesanbox.kr/calculators/seller-margin/,판매 수수료 계산기,판매 수수료 계산기,0,0,0,2,1,1,0.00%,0.00%,0.00,51,57,-6.00,51위 이하,예,아니오,예,아니오,예,아니오,아니오,콘텐츠 확장 검토,"노출 +1, 순위 개선"
판매자 마진,https://gyesanbox.kr/calculators/seller-margin/,판매 금액,판매 금액,0,0,0,1,0,1,0.00%,0.00%,0.00,8,0,신규 발생,4~10위,예,아니오,예,예,아니오,아니오,아니오,빠른 개선 가능,신규 발생
판매자 마진,https://gyesanbox.kr/calculators/seller-margin/,결정값계산기,결정값계산기,0,0,0,1,0,1,0.00%,0.00%,0.00,10,0,신규 발생,4~10위,예,아니오,예,예,아니오,아니오,아니오,빠른 개선 가능,신규 발생
판매자 마진,https://gyesanbox.kr/calculators/seller-margin/,원가 계산기,원가 계산기,0,0,0,1,1,0,0.00%,0.00%,0.00,61,68,-7.00,51위 이하,예,아니오,예,아니오,예,아니오,아니오,콘텐츠 확장 검토,"노출 +0, 순위 개선"
부가세,https://gyesanbox.kr/calculators/vat-profit/,부가세 계산기,부가세 계산기,0,0,0,2,0,2,0.00%,0.00%,0.00,52.5,0,신규 발생,51위 이하,예,아니오,예,아니오,아니오,아니오,아니오,관찰,신규 발생
부가세,https://gyesanbox.kr/calculators/vat-profit/,세액 계산,세액 계산,0,0,0,1,0,1,0.00%,0.00%,0.00,42,0,신규 발생,21~50위,예,아니오,예,아니오,아니오,아니오,아니오,관찰,신규 발생
부가세,https://gyesanbox.kr/calculators/vat-profit/,부가세 포함 계산,부가세 포함 계산,0,0,0,1,0,1,0.00%,0.00%,0.00,54,0,신규 발생,51위 이하,예,아니오,예,아니오,아니오,아니오,아니오,관찰,신규 발생
부가세,https://gyesanbox.kr/calculators/vat-profit/,부가세 계산,부가세 계산,0,0,0,1,0,1,0.00%,0.00%,0.00,60,0,신규 발생,51위 이하,예,아니오,예,아니오,아니오,아니오,아니오,관찰,신규 발생
