계산기,URL,순위구간,검색어수,총노출,총클릭,대표검색어,SEO_개선검토가치
실업급여,https://gyesanbox.kr/calculators/unemployment/,4~10위,10,21,0,고용보험법 시행령 제68조 구직급여일액 상한액 68100 / 국가법령정보센터 고용보험법 시행령 제68조 2026 68100 / 고용보험법 시행령 2026 구직급여 상한액 68100 국가법령정보센터,매우 높음: CTR·검색의도 정합성 우선 검토
실업급여,https://gyesanbox.kr/calculators/unemployment/,11~20위,6,10,0,국가법령정보센터 고용보험법 시행령 제68조 113500 2026 / 고용보험법 시행령 제68조 구직급여일액 상한액 2026 68100 / 월급 80 만원 실업급여,높음: 빠른 개선 후보
실업급여,https://gyesanbox.kr/calculators/unemployment/,21~50위,8,13,0,실업급여 기간 계산 / 실업 급여 기간 계산 / 실업급여 계산방법,중간: 콘텐츠 확장·의도 정합성 검토
실업급여,https://gyesanbox.kr/calculators/unemployment/,51위 이하,0,0,0,,낮음: 관련성부터 확인
육아휴직급여,https://gyesanbox.kr/calculators/parental-leave/,1~3위,0,0,0,,노출 확보 시 CTR 방어
육아휴직급여,https://gyesanbox.kr/calculators/parental-leave/,4~10위,0,0,0,,매우 높음: CTR·검색의도 정합성 우선 검토
육아휴직급여,https://gyesanbox.kr/calculators/parental-leave/,11~20위,1,1,0,육아휴직급여 계산,높음: 빠른 개선 후보
육아휴직급여,https://gyesanbox.kr/calculators/parental-leave/,21~50위,6,24,0,육아휴직 급여 계산기 / 육아휴직급여 계산기 / 육아휴직기간계산기,중간: 콘텐츠 확장·의도 정합성 검토
육아휴직급여,https://gyesanbox.kr/calculators/parental-leave/,51위 이하,0,0,0,,낮음: 관련성부터 확인
대출 이자,https://gyesanbox.kr/calculators/loan/,1~3위,0,0,0,,노출 확보 시 CTR 방어
대출 이자,https://gyesanbox.kr/calculators/loan/,4~10위,4,18,0,원리금 계산기 / 원금균등상환 계산기 / 원리금 균등 분할 상환 계산기,매우 높음: CTR·검색의도 정합성 우선 검토
대출 이자,https://gyesanbox.kr/calculators/loan/,11~20위,3,8,0,원리금균등분할상환 계산기 / 원리균등상환 계산기 / 원리금균등상환 계산기,높음: 빠른 개선 후보
대출 이자,https://gyesanbox.kr/calculators/loan/,21~50위,3,3,0,대출 원리금 계산 / 대출 월납입금 계산 / 만기일시상환 계산기,중간: 콘텐츠 확장·의도 정합성 검토
대출 이자,https://gyesanbox.kr/calculators/loan/,51위 이하,0,0,0,,낮음: 관련성부터 확인
전세 vs 월세,https://gyesanbox.kr/calculators/rent-vs-jeonse/,1~3위,0,0,0,,노출 확보 시 CTR 방어
전세 vs 월세,https://gyesanbox.kr/calculators/rent-vs-jeonse/,4~10위,1,1,0,전세대출금리,매우 높음: CTR·검색의도 정합성 우선 검토
전세 vs 월세,https://gyesanbox.kr/calculators/rent-vs-jeonse/,11~20위,0,0,0,,높음: 빠른 개선 후보
전세 vs 월세,https://gyesanbox.kr/calculators/rent-vs-jeonse/,21~50위,0,0,0,,중간: 콘텐츠 확장·의도 정합성 검토
전세 vs 월세,https://gyesanbox.kr/calculators/rent-vs-jeonse/,51위 이하,0,0,0,,낮음: 관련성부터 확인
판매자 마진,https://gyesanbox.kr/calculators/seller-margin/,1~3위,0,0,0,,노출 확보 시 CTR 방어
판매자 마진,https://gyesanbox.kr/calculators/seller-margin/,4~10위,6,28,0,결정값 계산기 / 판매금액 / 판매가 계산기,매우 높음: CTR·검색의도 정합성 우선 검토
판매자 마진,https://gyesanbox.kr/calculators/seller-margin/,11~20위,0,0,0,,높음: 빠른 개선 후보
판매자 마진,https://gyesanbox.kr/calculators/seller-margin/,21~50위,0,0,0,,중간: 콘텐츠 확장·의도 정합성 검토
판매자 마진,https://gyesanbox.kr/calculators/seller-margin/,51위 이하,2,3,0,판매 수수료 계산기 / 원가 계산기,낮음: 관련성부터 확인
부가세,https://gyesanbox.kr/calculators/vat-profit/,1~3위,0,0,0,,노출 확보 시 CTR 방어
부가세,https://gyesanbox.kr/calculators/vat-profit/,4~10위,0,0,0,,매우 높음: CTR·검색의도 정합성 우선 검토
부가세,https://gyesanbox.kr/calculators/vat-profit/,11~20위,0,0,0,,높음: 빠른 개선 후보
부가세,https://gyesanbox.kr/calculators/vat-profit/,21~50위,1,1,0,세액 계산,중간: 콘텐츠 확장·의도 정합성 검토
부가세,https://gyesanbox.kr/calculators/vat-profit/,51위 이하,3,4,0,부가세 계산기 / 부가세 포함 계산 / 부가세 계산,낮음: 관련성부터 확인
